Labirinto 4
###############
#I-----------F#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
###############

Solução Labirinto 4
############### 
#Io-------oooo# 
#-oooooooooooo# 
#---oooo-----o# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
###############



Geração : 366	Fitness : -89.97	Fitness Melhor : 1000	
Geração : 367	Fitness : -13.41	Fitness Melhor : 1000	
Geração : 368	Fitness : -31.23	Fitness Melhor : 1000	
Geração : 369	Fitness : -28.84	Fitness Melhor : 1000	
Geração : 370	Fitness : -193.98	Fitness Melhor : 1000	
Geração : 371	Fitness : -98.65	Fitness Melhor : 1000	
Geração : 372	Fitness : -309.43	Fitness Melhor : 1000	
Geração : 373	Fitness : -172.84	Fitness Melhor : 1000	
Geração : 374	Fitness : -150.39	Fitness Melhor : 1000	
Geração : 375	Fitness : -31.49	Fitness Melhor : 1000	
Geração : 376	Fitness : -203.6	Fitness Melhor : 1000	
Geração : 377	Fitness : -125.8	Fitness Melhor : 1000	
Geração : 378	Fitness : -57.7	Fitness Melhor : 1000	
Geração : 379	Fitness : -90.32	Fitness Melhor : 1000	
Geração : 380	Fitness : 2.72	Fitness Melhor : 1000	
Geração : 381	Fitness : -210.05	Fitness Melhor : 1000	
Geração : 382	Fitness : -228.2	Fitness Melhor : 1000	
Geração : 383	Fitness : -206.21	Fitness Melhor : 1000	
Geração : 384	Fitness : -202.31	Fitness Melhor : 1000	
Geração : 385	Fitness : -194.47	Fitness Melhor : 1000	
Geração : 386	Fitness : -434.0	Fitness Melhor : 1000	
Geração : 387	Fitness : 39.97	Fitness Melhor : 1000	
Geração : 388	Fitness : -46.63	Fitness Melhor : 1000	
Geração : 389	Fitness : -88.62	Fitness Melhor : 1000	
Geração : 390	Fitness : -19.4	Fitness Melhor : 1000	
Geração : 391	Fitness : -70.86	Fitness Melhor : 1000	
Geração : 392	Fitness : -68.56	Fitness Melhor : 1000	
Geração : 393	Fitness : -110.58	Fitness Melhor : 1000	
Geração : 394	Fitness : -61.08	Fitness Melhor : 1000	
Geração : 395	Fitness : -73.97	Fitness Melhor : 1000	
Geração : 396	Fitness : -28.95	Fitness Melhor : 1000	
Geração : 397	Fitness : -3.36	Fitness Melhor : 1000	
Geração : 398	Fitness : -129.51	Fitness Melhor : 1000	
Geração : 399	Fitness : -62.35	Fitness Melhor : 1000	
Geração : 400	Fitness : -117.5	Fitness Melhor : 1000	
Geração : 401	Fitness : -48.14	Fitness Melhor : 1000	
Geração : 402	Fitness : -64.01	Fitness Melhor : 1000	
Geração : 403	Fitness : -69.23	Fitness Melhor : 1000	
Geração : 404	Fitness : -2.58	Fitness Melhor : 1000	
Geração : 405	Fitness : -159.87	Fitness Melhor : 1000	
Geração : 406	Fitness : -34.13	Fitness Melhor : 1000	
Geração : 407	Fitness : -131.79	Fitness Melhor : 1000	
Geração : 408	Fitness : -141.93	Fitness Melhor : 1000	
Geração : 409	Fitness : 20.58	Fitness Melhor : 1000	
Geração : 410	Fitness : -113.14	Fitness Melhor : 1000	
Geração : 411	Fitness : -107.63	Fitness Melhor : 1000	
Geração : 412	Fitness : -81.56	Fitness Melhor : 1000	
Geração : 413	Fitness : 5.32	Fitness Melhor : 1000	
Geração : 414	Fitness : -235.62	Fitness Melhor : 1000	
Geração : 415	Fitness : -95.69	Fitness Melhor : 1000	
Geração : 416	Fitness : -243.51	Fitness Melhor : 1000	
Geração : 417	Fitness : -119.65	Fitness Melhor : 1000	
Geração : 418	Fitness : -409.81	Fitness Melhor : 1000	
Geração : 419	Fitness : -182.23	Fitness Melhor : 1000	
