Geração : 363	Fitness : -174.39	Fitness Melhor : 1000	
Geração : 364	Fitness : -251.98	Fitness Melhor : 1000	
Geração : 365	Fitness : -196.13	Fitness Melhor : 1000	
Geração : 366	Fitness : -287.8	Fitness Melhor : 1000	
Geração : 367	Fitness : -53.6	Fitness Melhor : 1000	
Geração : 368	Fitness : -53.56	Fitness Melhor : 1000	
Geração : 369	Fitness : -222.1	Fitness Melhor : 1000	
Geração : 370	Fitness : -351.27	Fitness Melhor : 1000	
Geração : 371	Fitness : -153.59	Fitness Melhor : 1000	
Geração : 372	Fitness : -273.46	Fitness Melhor : 1000	
Geração : 373	Fitness : -381.02	Fitness Melhor : 1000	
Geração : 374	Fitness : -145.71	Fitness Melhor : 1000	
Geração : 375	Fitness : -177.4	Fitness Melhor : 1000	
Geração : 376	Fitness : -231.45	Fitness Melhor : 1000	
Geração : 377	Fitness : -227.3	Fitness Melhor : 1000	
Geração : 378	Fitness : -210.09	Fitness Melhor : 1000	
Geração : 379	Fitness : -212.25	Fitness Melhor : 1000	
Geração : 380	Fitness : -296.27	Fitness Melhor : 1000	
Geração : 381	Fitness : -222.36	Fitness Melhor : 1000	
Geração : 382	Fitness : -204.46	Fitness Melhor : 1000	
Geração : 383	Fitness : -431.48	Fitness Melhor : 1000	
Geração : 384	Fitness : -328.73	Fitness Melhor : 1000	
Geração : 385	Fitness : -322.14	Fitness Melhor : 1000	
Geração : 386	Fitness : -407.15	Fitness Melhor : 1000	
Geração : 387	Fitness : -198.71	Fitness Melhor : 1000	
Geração : 388	Fitness : -203.15	Fitness Melhor : 1000	
Geração : 389	Fitness : -376.12	Fitness Melhor : 1000	
Geração : 390	Fitness : -206.99	Fitness Melhor : 1000	
Geração : 391	Fitness : -277.82	Fitness Melhor : 1000	
Geração : 392	Fitness : -103.21	Fitness Melhor : 1000	
Geração : 393	Fitness : -149.77	Fitness Melhor : 1000	
Geração : 394	Fitness : -309.7	Fitness Melhor : 1000	
Geração : 395	Fitness : -216.81	Fitness Melhor : 1000	
Geração : 396	Fitness : -251.73	Fitness Melhor : 1000	
Geração : 397	Fitness : -319.34	Fitness Melhor : 1000	
Geração : 398	Fitness : -322.02	Fitness Melhor : 1000	
Geração : 399	Fitness : -76.0	Fitness Melhor : 1000	
Geração : 400	Fitness : -148.76	Fitness Melhor : 1000	
Geração : 401	Fitness : -410.09	Fitness Melhor : 1000	
Geração : 402	Fitness : -219.94	Fitness Melhor : 1000	
Geração : 403	Fitness : -273.28	Fitness Melhor : 1000	
Geração : 404	Fitness : -211.43	Fitness Melhor : 1000	
Geração : 405	Fitness : -414.28	Fitness Melhor : 1000	
Geração : 406	Fitness : -171.54	Fitness Melhor : 1000	
Geração : 407	Fitness : -247.09	Fitness Melhor : 1000	
Geração : 408	Fitness : -64.23	Fitness Melhor : 1000	
Geração : 409	Fitness : -195.22	Fitness Melhor : 1000	
Geração : 410	Fitness : -278.51	Fitness Melhor : 1000	
Geração : 411	Fitness : -228.86	Fitness Melhor : 1000	
Geração : 412	Fitness : -317.29	Fitness Melhor : 1000	
Geração : 413	Fitness : -125.96	Fitness Melhor : 1000	
Geração : 414	Fitness : -131.06	Fitness Melhor : 1000	
Geração : 415	Fitness : -177.37	Fitness Melhor : 1000	
Geração : 416	Fitness : -202.54	Fitness Melhor : 1000	
Geração : 417	Fitness : -248.02	Fitness Melhor : 1000	
Geração : 418	Fitness : -189.46	Fitness Melhor : 1000	
Geração : 419	Fitness : -239.31	Fitness Melhor : 1000	
Geração : 420	Fitness : -280.05	Fitness Melhor : 1000	
Geração : 421	Fitness : -489.06	Fitness Melhor : 1000	
Geração : 422	Fitness : -357.65	Fitness Melhor : 1000	
Geração : 423	Fitness : -111.25	Fitness Melhor : 1000	
Geração : 424	Fitness : -142.95	Fitness Melhor : 1000	
Geração : 425	Fitness : -126.71	Fitness Melhor : 1000	
Geração : 426	Fitness : -208.49	Fitness Melhor : 1000	
Geração : 427	Fitness : -269.4	Fitness Melhor : 1000	
Geração : 428	Fitness : -371.2	Fitness Melhor : 1000	
Geração : 429	Fitness : -290.98	Fitness Melhor : 1000	
Geração : 430	Fitness : -381.97	Fitness Melhor : 1000	
Geração : 431	Fitness : -158.29	Fitness Melhor : 1000	
Geração : 432	Fitness : -168.03	Fitness Melhor : 1000	
Geração : 433	Fitness : -166.49	Fitness Melhor : 1000	
Geração : 434	Fitness : -300.25	Fitness Melhor : 1000	
Geração : 435	Fitness : -320.06	Fitness Melhor : 1000	
Geração : 436	Fitness : -348.7	Fitness Melhor : 1000	
Geração : 437	Fitness : -284.59	Fitness Melhor : 1000	
Geração : 438	Fitness : -262.43	Fitness Melhor : 1000	
Geração : 439	Fitness : -111.56	Fitness Melhor : 1000	
Geração : 440	Fitness : -293.68	Fitness Melhor : 1000	
Geração : 441	Fitness : -196.38	Fitness Melhor : 1000	
Geração : 442	Fitness : -169.55	Fitness Melhor : 1000	
Geração : 443	Fitness : -314.01	Fitness Melhor : 1000	
Geração : 444	Fitness : -190.93	Fitness Melhor : 1000	
Geração : 445	Fitness : -212.33	Fitness Melhor : 1000	
Geração : 446	Fitness : -254.08	Fitness Melhor : 1000	
Geração : 447	Fitness : -45.76	Fitness Melhor : 1000	
Geração : 448	Fitness : -135.53	Fitness Melhor : 1000	
Geração : 449	Fitness : -201.32	Fitness Melhor : 1000	
Geração : 450	Fitness : -366.02	Fitness Melhor : 1000	
Geração : 451	Fitness : -339.07	Fitness Melhor : 1000	
Geração : 452	Fitness : -125.2	Fitness Melhor : 1000	
Geração : 453	Fitness : -225.12	Fitness Melhor : 1000	
