Geração : 433	Fitness : -228.79	Fitness Melhor : 1000	
Geração : 434	Fitness : -218.99	Fitness Melhor : 1000	
Geração : 435	Fitness : -177.48	Fitness Melhor : 1000	
Geração : 436	Fitness : -215.33	Fitness Melhor : 1000	
Geração : 437	Fitness : -271.07	Fitness Melhor : 1000	
Geração : 438	Fitness : -55.23	Fitness Melhor : 1000	
Geração : 439	Fitness : -92.37	Fitness Melhor : 1000	
Geração : 440	Fitness : -135.19	Fitness Melhor : 1000	
Geração : 441	Fitness : -49.21	Fitness Melhor : 1000	
Geração : 442	Fitness : -240.23	Fitness Melhor : 1000	
Geração : 443	Fitness : -153.09	Fitness Melhor : 1000	
Geração : 444	Fitness : -147.81	Fitness Melhor : 1000	
Geração : 445	Fitness : -95.09	Fitness Melhor : 1000	
Geração : 446	Fitness : -159.66	Fitness Melhor : 1000	
Geração : 447	Fitness : -94.87	Fitness Melhor : 1000	
Geração : 448	Fitness : -78.61	Fitness Melhor : 1000	
Geração : 449	Fitness : -58.78	Fitness Melhor : 1000	
Geração : 450	Fitness : -206.88	Fitness Melhor : 1000	
